id,trial_name,protocol_number,eligibility_criteria,inclusion_criteria,exclusion_criteria,age_min,age_max,bmi_min,bmi_max,conditions,medications,other_notes,uploaded_at,protocol_name
10,"A Phase 3 Randomized, Multi-Center, Placebo-Controlled, Masked Study to Evaluate the Clinical Efficacy and Safety of Fucithalmic® (Fusidic Acid 1%) Viscous Topical Antibiotic Eye Drops for the Treatment of Suspected Bacterial Conjunctivitis",BXP-301,,Subjects who meet all the following inclusion criteria will be eligible to,Subjects who meet any of the following exclusion criteria will not be eligible,,,,,Bacterial Conjunctivitis,,,2025-03-13 03:34:15.114637,
11,"A Phase 3 Randomized, Double-blind, Multi-center, Placebo-controlled Study to Evaluate the Efficacy and Safety of AR882 in Participants with Gout",AR882-301,,,,,,,,Gout,,,2025-03-17 15:15:25.898823,
12,Phase 3 Study to Evaluate the Efficacy and Safety of ORMD-0801 in Subjects with Type 2 Diabetes Mellitus with Inadequate Glycemic Control on One to Three Glucose- lowering Agents,ORA-D-013-3,,,,,,,,Type 2 Diabetes Mellitus,,,2025-03-18 18:40:38.095231,
15,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Study to Evaluate the Efficacy, Safety, and Tolerability of CIN-103 in Adults With Irritable Bowel Syndrome With Predominant Diarrhea (IBS-D)",CIN-103-121,,,,,,,,Irritable Bowel Syndrome,,,2025-03-21 11:47:38.03204,
18,"A Phase I/II, randomized, placebo-controlled, multi-arm, dose-finding study to evaluate the safety, efficacy and immunogenicity of an Acne mRNA vaccine candidate in adults with moderate to severe acne 18 to 45 years of age",VBE00001,,,,,,,,Acne,,,2025-03-21 11:47:38.03204,
19,"Phase 2b, Multi-center, randomized, double-blind, placebo-controlled, parallel-group study to evaluate the safety, tolerability, and efficacy of various doses of elismetrep in the treatment of patients with an acute migraine attack.",K304-P001,,,,,,,,Acute Migraines,,,2025-03-21 11:47:38.03204,
21,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of CIN-102 (Deudomperidone) in Adult Subjects With Diabetic Gastroparesis",CIN-102-123,,,,,,,,Diabetic Gastroparesis,,,2025-03-21 11:47:38.03204,
26,"A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multi-dose Study to Evaluate the Efficacy and Safety of VDPHL01 in Male Subjects with Androgenetic Alopecia",250-13951-302,,,,,,,,Androgenetic Alopecia,,,2025-03-21 11:47:38.03204,
37,"Efficacy and Safety of Ixekizumab or Ixekizumab Concomitantly Administered with Tirzepatide in Adult Participants with Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight: A Phase 3b, Randomized, Multicenter, Open-Label Study (TOGETHER-PsO)",I1F-MC-RHDC,,,,,,,,Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight,,,2025-03-21 11:47:38.03204,
42,"A Phase 2b, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study of the Efficacy and Safety of Brensocatib in Adults with Moderate to Severe Hidradenitis Suppurativa – The CEDAR Study",INS-1007-231,,,,,,,,Moderate to Severe Hidradenitis Suppurativa,,,2025-03-21 11:47:38.03204,
47,"A Phase 3, Multicenter, Parallel-Group, Open-Label Study to Evaluate the Safety, Tolerability, and Immunogenicity of Respiratory Syncytial Virus Prefusion F Subunit Vaccine When Coadministered With Herpes Zoster Subunit Vaccine in Adults ≥50 Years of Age",C3671058,,,,,,,,Respiratory Syncytial Virus (RSV) Vaccine,,,2025-03-21 11:47:38.03204,
49,"A Phase IIb Randomised, Double-blind, Placebo-controlled Study to Evaluate the Efficacy, Safety and Tolerability of Co-administration of AZD9550 and AZD6234 in Participants Living With Obesity or Overweight with Co-morbidity (ASCEND)",D8460C0004,,,,,,,,Obesity,,,2025-03-21 11:47:38.03204,
51,"A Phase 3, Randomized, Double-blind, Placebo-Controlled, Multicenter Study to Evaluate Azetukalner in Moderate-to-Severe Major Depressive Disorder",XPF-010-D301,,,,,,,,Major Depressive Disorder,,,2025-03-21 11:47:38.03204,
