protocol_number,trial_name,conditions,phase,status,sponsor,description,primary_endpoint,secondary_endpoints,enrollment_target,estimated_duration,uploaded_at,updated_at
BXP-301,"A Phase 3 Randomized, Multi-Center, Placebo-Controlled, Masked Study to Evaluate the Clinical Efficacy and Safety of Fucithalmic® (Fusidic Acid 1%) Viscous Topical Antibiotic Eye Drops for the Treatment of Suspected Bacterial Conjunctivitis",Bacterial Conjunctivitis,Phase I,active,"","",Subjects who meet all the following inclusion criteria will be eligible to,Subjects who meet any of the following exclusion criteria will not be eligible,,,2025-03-13 03:34:15.114637,2025-03-13 03:34:15.114637
AR882-301,"A Phase 3 Randomized, Double-blind, Multi-center, Placebo-controlled Study to Evaluate the Efficacy and Safety of AR882 in Participants with Gout",Gout,Phase I,active,"","","","",,,2025-03-17 15:15:25.898823,2025-03-17 15:15:25.898823
ORA-D-013-3,Phase 3 Study to Evaluate the Efficacy and Safety of ORMD-0801 in Subjects with Type 2 Diabetes Mellitus with Inadequate Glycemic Control on One to Three Glucose- lowering Agents,Type 2 Diabetes Mellitus,Phase I,active,"","","","",,,2025-03-18 18:40:38.095231,2025-03-18 18:40:38.095231
CIN-103-121,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Study to Evaluate the Efficacy, Safety, and Tolerability of CIN-103 in Adults With Irritable Bowel Syndrome With Predominant Diarrhea (IBS-D)",Irritable Bowel Syndrome,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
VBE00001,"A Phase I/II, randomized, placebo-controlled, multi-arm, dose-finding study to evaluate the safety, efficacy and immunogenicity of an Acne mRNA vaccine candidate in adults with moderate to severe acne 18 to 45 years of age",Acne,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
K304-P001,"Phase 2b, Multi-center, randomized, double-blind, placebo-controlled, parallel-group study to evaluate the safety, tolerability, and efficacy of various doses of elismetrep in the treatment of patients with an acute migraine attack.",Acute Migraines,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
CIN-102-123,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of CIN-102 (Deudomperidone) in Adult Subjects With Diabetic Gastroparesis",Diabetic Gastroparesis,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
250-13951-302,"A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multi-dose Study to Evaluate the Efficacy and Safety of VDPHL01 in Male Subjects with Androgenetic Alopecia",Androgenetic Alopecia,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
I1F-MC-RHDC,"Efficacy and Safety of Ixekizumab or Ixekizumab Concomitantly Administered with Tirzepatide in Adult Participants with Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight: A Phase 3b, Randomized, Multicenter, Open-Label Study (TOGETHER-PsO)",Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
INS-1007-231,"A Phase 2b, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study of the Efficacy and Safety of Brensocatib in Adults with Moderate to Severe Hidradenitis Suppurativa – The CEDAR Study",Moderate to Severe Hidradenitis Suppurativa,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
C3671058,"A Phase 3, Multicenter, Parallel-Group, Open-Label Study to Evaluate the Safety, Tolerability, and Immunogenicity of Respiratory Syncytial Virus Prefusion F Subunit Vaccine When Coadministered With Herpes Zoster Subunit Vaccine in Adults ≥50 Years of Age",Respiratory Syncytial Virus (RSV) Vaccine,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
D8460C0004,"A Phase IIb Randomised, Double-blind, Placebo-controlled Study to Evaluate the Efficacy, Safety and Tolerability of Co-administration of AZD9550 and AZD6234 in Participants Living With Obesity or Overweight with Co-morbidity (ASCEND)",Obesity,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
XPF-010-D301,"A Phase 3, Randomized, Double-blind, Placebo-Controlled, Multicenter Study to Evaluate Azetukalner in Moderate-to-Severe Major Depressive Disorder",Major Depressive Disorder,Phase I,active,"","","","",,,2025-03-21 11:47:38.03204,2025-03-21 11:47:38.03204
