id,trial_id,criterion_type,criterion_text,is_required,parsed_json,created_at,updated_at,category,tags
224,10,inclusion,"Subjects must: 1. Be willing and able to provide voluntary written informed consent and written authorization for use and disclosure of protected health information. • In the case of pediatric subjects, a parent or legally authorized representative (LAR) must provide written informed consent and sign the health information disclosure form. The child’s assent should also be obtained as required by the overseeing Institutional Review Board (IRB).",f,,2025-07-25 16:21:05.142681,2025-07-28 19:38:47.735609,laboratory,
225,10,inclusion,"2. Be able and willing to fully comply with study procedures and restrictions. • For pediatric subjects, this requirement applies to the parent or LAR.",f,,2025-07-25 16:21:05.192329,2025-07-28 19:38:48.020665,study_procedures,
226,10,inclusion,"3. If a woman of childbearing potential (WOCBP), have a negative urine pregnancy test (UPT) at Visit 1 and be willing to use approved contraception for the duration of the study. If a sexually active adult male with a female partner of childbearing potential, be willing to use approved contraception for the duration of the study. • Non-childbearing potential is defined as a female who is either premenarchal, postmenopausal (no menstrual periods for at least 12 consecutive months without another medical cause), or has undergone documented permanent sterilization, such as a bilateral oophorectomy, hysterectomy, or tubal ligation. • Approved forms of contraception include hormonal (i.e., oral, transdermal, implant, or injection); barrier (i.e., condom or diaphragm with spermicide); intrauterine device; vasectomized partner (6 months minimum); and abstinence.",f,,2025-07-25 16:21:05.229567,2025-07-28 19:38:47.879142,demographics,
227,10,inclusion,"4. At Visit 1, have a clinical diagnosis of suspected bacterial conjunctivitis in at least 1 eye, confirmed by the presence of the following minimal clinical signs and symptoms in that same eye: a. Clinical observation or solicited subject report of purulent or mucopurulent ocular discharge b. Grade ≥ 1 on the modified VBR conjunctival redness scale",f,,2025-07-25 16:21:05.270849,2025-07-28 19:38:47.805461,laboratory,
228,10,inclusion,"5. Have received no ocular treatment for conjunctivitis, aside from eyelid hygiene, ≤14 days prior to Visit 1.",t,,2025-07-25 16:21:05.30943,2025-07-28 19:39:02.02258,disease_specific,
229,10,inclusion,"6. Have a negative viral conjunctivitis (e.g., QuickVue® Adenoviral Conjunctivitis Test) test in both eyes ≤24 hours prior to Visit 1 or at Visit 1.",f,,2025-07-25 16:21:05.351141,2025-07-28 19:38:47.947424,disease_specific,
230,10,inclusion,7. Be willing to discontinue use of cosmetics on the eyelids and eyelashes for the duration of the study.,f,,2025-07-25 16:21:05.396645,2025-07-28 19:38:48.105005,study_procedures,
231,10,inclusion,8. Be willing to discontinue use of contact lenses for the duration of the study.,f,,2025-07-25 16:21:05.443852,2025-07-28 19:38:48.24668,study_procedures,
232,10,exclusion,Subjects must not: 1. Be currently pregnant or lactating (WOCBP).,f,,2025-07-25 16:21:05.480703,2025-07-28 19:38:47.595176,reproductive,
233,10,exclusion,2. Have participated in another clinical trial ≤30 days prior to Visit 1.,f,,2025-07-25 16:21:05.519072,2025-07-28 19:38:48.179072,medical_history,
234,10,exclusion,3. Have received another experimental drug ≤90 days prior to Visit 1.,f,,2025-07-25 16:21:05.566629,2025-07-28 19:38:48.600869,medical_history,
235,10,exclusion,4. Have a household member enrolled in this study.,f,,2025-07-25 16:21:05.607297,2025-07-28 19:38:48.31738,study_procedures,
236,10,exclusion,"5. Have any known history of immunodeficiency disorder or known active conditions predisposing to immunodeficiency, such as human immunodeficiency virus, hepatitis B or C, evidence of active hepatitis A (anti-hepatitis A virus immunoglobulin M), or organ or bone marrow transplant.",t,,2025-07-25 16:21:05.658129,2025-07-28 19:39:32.697004,disease_specific,
237,10,exclusion,6. Be blind or have monocular vision.,f,,2025-07-25 16:21:05.697996,2025-07-28 19:38:48.385461,general,
