protocol_number,criterion_type,criterion_text,category,is_required,sort_order,parsed_json,created_at,updated_at
AR882-301,exclusion,"2. History of symptomatic kidney stones within the past 6 months, nephrectomy, and/or renal transplant.",medical,f,0,"{""field"": ""condition"", ""value"": ""kidney stones"", ""operator"": ""equals""}",2025-04-01 19:30:18.678807,2025-07-22 19:16:44.201729
AR882-301,exclusion,5. Hemoglobin < 10 g/dL (males) or < 9 g/dL (females) at Screening.,laboratory,f,0,"{""test"": ""hemoglobin"", ""field"": ""lab_value"", ""value"": 10, ""operator"": ""greater_than""}",2025-04-01 19:30:57.96791,2025-07-22 19:16:47.975766
AR882-301,inclusion,1. Male or female participants ≥ 18 to ≤ 85 years of age at the time of signing the informed consent form (ICF).,demographic,t,0,"{""unit"": ""years"", ""field"": ""age"", ""value"": [18, 85], ""operator"": ""between""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.871317
AR882-301,inclusion,"2. Participants that have documented medical records stating history of gout. If no documented medical history of gout, delegated site personnel should complete the American College Rheumatology/ European Alliance of Associations for
   Rheumatology gout classification criteria calculator to confirm gout diagnosis.",medical,t,0,"{""field"": ""diagnosis"", ""value"": ""gout"", ""operator"": ""equals""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:24.580448
AR882-301,inclusion,3. Must have had an occurrence of ≥ 2 self-reported gout flares in the last 12 months.,medical,t,0,"{""field"": ""condition_count"", ""value"": 2, ""operator"": ""greater_than_or_equal"", ""condition"": ""gout flares""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:27.008769
AR882-301,inclusion,4. Body weight must be ≥ 50 kg and body mass index between ≥ 18 to ≤ 45 kg/m2.,biometric,t,0,"{""field"": ""bmi"", ""value"": 18.5, ""operator"": ""greater_than_or_equal""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:28.672301
AR882-301,inclusion,5. Male or female participants. Contraceptive use by men and women should be consistent with local regulations regarding the methods of contraception for those participating in clinical studies.,other,f,0,"{""text"": ""5. Male or female participants. Contraceptive use by men and women should be consistent with local regulations regarding the methods of contraception for those participating in clinical studies."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.146201
AR882-301,inclusion,"6. Capable of giving signed informed consent, which includes compliance with the requirements and restrictions listed in the ICF and in this protocol.",other,f,0,"{""text"": ""6. Capable of giving signed informed consent, which includes compliance with the requirements and restrictions listed in the ICF and in this protocol."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:20.920015
AR882-301,inclusion,7. Participants must meet one of the following criteria: a. ULT-naïve participants OR b. Participants entering the study on ULT are willing to washout for a minimum of 10 days before the first IP administration on Day 1.,other,t,0,"{""text"": ""7. Participants must meet one of the following criteria: a. ULT-naïve participants OR b. Participants entering the study on ULT are willing to washout for a minimum of 10 days before the first IP administration on Day 1."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:37.177695
AR882-301,inclusion,"8. Participant meets one of the following criteria at Screening: a. If not currently taking an approved ULT, participant must have an sUA value ≥ 7.0 mg/dL (416 µmol/L) OR b. If entering the study on ULT treatment, participant must 
  have an sUA value > 6.0 mg/dL (357 µmol/L).",other,f,0,"{""text"": ""8. Participant meets one of the following criteria at Screening: a. If not currently taking an approved ULT, participant must have an sUA value ≥ 7.0 mg/dL (416 µmol/L) OR b. If entering the study on ULT treatment, participant must \n  have an sUA value > 6.0 mg/dL (357 µmol/L)."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.41381
AR882-301,inclusion,9. Serum creatinine must be < 3.0 mg/dL and estimated CLcr ≥ 30 mL/min by Cockcroft-Gault formula.,other,f,0,"{""text"": ""9. Serum creatinine must be < 3.0 mg/dL and estimated CLcr ≥ 30 mL/min by Cockcroft-Gault formula."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:22.35879
AR882-301,inclusion,10. Participants taking concomitant medications must be on a stable dose from 4 weeks before Day 1 and agree to maintain the stable dose through to the Final Follow-Up Visit.,other,f,0,"{""text"": ""10. Participants taking concomitant medications must be on a stable dose from 4 weeks before Day 1 and agree to maintain the stable dose through to the Final Follow-Up Visit."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.079283
AR882-301,inclusion,11. Participants previously prescribed pegloticase or rasburicase must have stopped taking these medications for at least 90 days before Day 1.,other,f,0,"{""text"": ""11. Participants previously prescribed pegloticase or rasburicase must have stopped taking these medications for at least 90 days before Day 1."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.488142
AR882-301,inclusion,12. Must be free of any clinically significant disease that would interfere with study evaluations or procedures as per the Investigator's judgment.,other,f,0,"{""text"": ""12. Must be free of any clinically significant disease that would interfere with study evaluations or procedures as per the Investigator's judgment."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:17:21.802947
AR882-301,exclusion,1. A history of clinically significant disorders or presenting with signs or symptoms of clinically significant disorders that are not well-controlled as per the Investigator's judgment.,other,f,0,"{""text"": ""1. A history of clinically significant disorders or presenting with signs or symptoms of clinically significant disorders that are not well-controlled as per the Investigator's judgment."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:16:55.258747
AR882-301,exclusion,3. History of xanthinuria.,other,f,0,"{""text"": ""3. History of xanthinuria."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:16:58.626327
AR882-301,exclusion,4. History of tumor lysis syndrome or Lesch-Nyhan syndrome.,other,f,0,"{""text"": ""4. History of tumor lysis syndrome or Lesch-Nyhan syndrome."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:16:57.778302
AR882-301,exclusion,"6. Alanine aminotransferase or aspartate aminotransferase > 2.0 × ULN, total bilirubin > 3 mg/dL, and/or international normalized ratio > 1.7 (not on anti-coagulant therapy) at Screening.",other,f,0,"{""text"": ""6. Alanine aminotransferase or aspartate aminotransferase > 2.0 × ULN, total bilirubin > 3 mg/dL, and/or international normalized ratio > 1.7 (not on anti-coagulant therapy) at Screening."", ""field"": ""unparsed""}",2025-04-01 19:33:02.324312,2025-07-22 19:16:59.62731
